date,Time_to_Maturity,last_value,spread_bps,spread_dec,hazard,s_tau,Q_fit_spline,NS_fit,piecewise_fit
2015-08-12,10.67123287671233,168.687,168.687,0.0168687,0.0281145,0.7408060886141719,0.8007958009208263,0.8024936347091564,0.7408060886141719
2015-08-13,10.668493150684931,156.853,156.853,0.0156853,0.026142166666666668,0.7566174328366786,0.8008054143038832,0.8024989846803464,0.7566174328366786
2015-08-20,10.64931506849315,164.62,164.62,0.016462,0.027436666666666668,0.7466328546610845,0.8008727757675828,0.8025365508088815,0.7466328546610845
2015-08-28,10.627397260273973,154.292,154.292,0.0154292,0.025715333333333337,0.7608743373956044,0.8009499065797461,0.8025797341958705,0.7608743373956044
2015-09-15,10.578082191780823,153.385,153.385,0.0153385,0.025564166666666666,0.7630590520249391,0.8011240298263806,0.8026778857136592,0.7630590520249391
2015-09-18,10.56986301369863,151.918,151.918,0.0151918,0.025319666666666667,0.7651943629430017,0.8011531293072172,0.8026943787702806,0.7651943629430017
2015-09-21,10.561643835616438,144.571,144.571,0.0144571,0.024095166666666668,0.775316017292888,0.8011822515833068,0.8027109105690867,0.775316017292888
2015-09-24,10.553424657534247,147.311,147.311,0.0147311,0.024551833333333335,0.7717412733412774,0.8012113967458818,0.8027274812318147,0.7717412733412774
2015-10-05,10.523287671232877,157.872,157.872,0.0157872,0.026312000000000002,0.7581388389994526,0.8013184596331093,0.8027885748097555,0.7581388389994526
2015-10-27,10.463013698630137,151.987,151.987,0.015198699999999999,0.025331166666666665,0.7671749985694793,0.8015335305147503,0.8029123587872136,0.7671749985694793
2015-10-28,10.46027397260274,144.012,144.012,0.0144012,0.024002,0.7779698600184058,0.8015433368604931,0.8029180365239886,0.7779698600184058
2015-11-12,10.419178082191781,132.206,132.206,0.013220599999999999,0.022034333333333333,0.7948676605334672,0.8016907546266532,0.8030037439060346,0.7948676605334672
2015-11-13,10.416438356164383,132.752,132.752,0.013275200000000001,0.022125333333333337,0.7941625063128882,0.8017006041462349,0.8030094940358649,0.7941625063128882
2015-11-17,10.405479452054795,134.454,134.454,0.013445400000000001,0.022409000000000002,0.792013858637529,0.8017400295518828,0.803032540254743,0.792013858637529
2015-11-23,10.389041095890411,139.359,139.359,0.013935900000000001,0.023226500000000004,0.7856050741503667,0.8017992500446827,0.8030672472122672,0.7856050741503667
2015-11-30,10.36986301369863,142.357,142.357,0.0142357,0.02372616666666667,0.7818932175771641,0.8018684665181455,0.803107948650448,0.7818932175771641
2015-12-14,10.331506849315069,137.673,137.673,0.0137673,0.0229455,0.7889426952163784,0.8020073111356711,0.8031900364217278,0.7889426952163784
2015-12-22,10.30958904109589,135.018,135.018,0.0135018,0.022503,0.7929487541542133,0.8020869005620934,0.8032373579295805,0.7929487541542133
2015-12-28,10.293150684931506,138.999,138.999,0.0138999,0.0231665,0.7878431356753329,0.8021467132743443,0.8032730487091913,0.7878431356753329
2015-12-29,10.29041095890411,128.635,128.635,0.0128635,0.02143916666666667,0.8020231264037748,0.8021566921806047,0.8032790138979896,0.8020231264037748
2016-01-06,10.26849315068493,139.791,139.791,0.0139791,0.0232985,0.787225541569309,0.8022366282294454,0.8033269083550675,0.787225541569309
2016-01-07,10.265753424657534,132.688,132.688,0.013268799999999999,0.022114666666666664,0.7969018834832982,0.8022466333939009,0.8033329168569514,0.7969018834832982
2016-01-12,10.252054794520548,145.242,145.242,0.0145242,0.024207,0.7802261305047974,0.8022967033517829,0.8033630320403652,0.7802261305047974
2016-01-19,10.232876712328768,131.413,131.413,0.013141300000000002,0.02190216666666667,0.7992174870189123,0.8023669255912087,0.8034053977212977,0.7992174870189123
2016-01-20,10.23013698630137,153.611,153.611,0.015361099999999999,0.025601833333333334,0.7695800811090056,0.8023769692464173,0.80341146952,0.7695800811090056
2016-01-25,10.216438356164383,145.133,145.133,0.014513300000000002,0.024188833333333336,0.7810440531451058,0.8024272324321703,0.8034419021959293,0.7810440531451058
2016-02-01,10.197260273972603,156.574,156.574,0.015657400000000002,0.02609566666666667,0.7663591882194333,0.8024977273710564,0.8034847152043578,0.7663591882194333
